"1단계","2단계","격자 X","격자 Y","육상예보구역","기온예보구역","","","","","","","","","","",""
"서울특별시","","60","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","종로구","60","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","중구","60","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","용산구","60","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","성동구","61","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","광진구","62","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","동대문구","61","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","중랑구","62","128","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","성북구","61","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강북구","61","128","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","도봉구","61","129","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","노원구","61","129","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","은평구","59","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","서대문구","59","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","마포구","59","127","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","양천구","58","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강서구","58","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","구로구","58","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","금천구","59","124","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","영등포구","58","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","동작구","59","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","관악구","59","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","서초구","61","125","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강남구","61","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","송파구","62","126","11B00000","11B10101","","","","","","","","","","",""
"서울특별시","강동구","62","126","11B00000","11B10101","","","","","","","","","","",""
"부산광역시","","98","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","중구","97","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","서구","97","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","동구","98","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","영도구","98","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","부산진구","97","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","동래구","98","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","남구","98","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","북구","96","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","해운대구","99","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","사하구","96","74","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","금정구","98","77","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","강서구","96","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","연제구","98","76","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","수영구","99","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","사상구","96","75","11H20000","11H20201","","","","","","","","","","",""
"부산광역시","기장군","100","77","11H20000","11H20201","","","","","","","","","","",""
"대구광역시","","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","중구","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","동구","90","91","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","서구","88","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","남구","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","북구","89","91","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","수성구","89","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","달서구","88","90","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","달성군","86","88","11H10000","11H10701","","","","","","","","","","",""
"대구광역시","군위군","88","99","11H10000","11H10707","","","","","","","","","","",""
"인천광역시","","55","124","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","중구","54","125","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","동구","54","125","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","미추홀구","54","124","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","연수구","55","123","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","남동구","56","124","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","부평구","55","125","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","계양구","56","126","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","서구","55","126","11B00000","11B20201","","","","","","","","","","",""
"인천광역시","강화군","51","130","11B00000","11B20101","","","","","","","","","","",""
"인천광역시","옹진군","54","124","11B00000","11B20101","","","","","","","","","","",""
"광주광역시","","58","74","11F20000","11F20501","","","","","","","","","","",""
"광주광역시","동구","60","74","11F20000","11F20501","","","","","","","","","","",""
"광주광역시","서구","59","74","11F20000","11F20501","","","","","","","","","","",""
"광주광역시","남구","59","73","11F20000","11F20501","","","","","","","","","","",""
"광주광역시","북구","59","75","11F20000","11F20501","","","","","","","","","","",""
"광주광역시","광산구","57","74","11F20000","11F20501","","","","","","","","","","",""
"대전광역시","","67","100","11C20000","11C20401","","","","","","","","","","",""
"대전광역시","동구","68","100","11C20000","11C20401","","","","","","","","","","",""
"대전광역시","중구","68","100","11C20000","11C20401","","","","","","","","","","",""
"대전광역시","서구","67","100","11C20000","11C20401","","","","","","","","","","",""
"대전광역시","유성구","67","101","11C20000","11C20401","","","","","","","","","","",""
"대전광역시","대덕구","68","100","11C20000","11C20401","","","","","","","","","","",""
"울산광역시","","102","84","11H20000","11H20101","","","","","","","","","","",""
"울산광역시","중구","102","84","11H20000","11H20101","","","","","","","","","","",""
"울산광역시","남구","102","84","11H20000","11H20101","","","","","","","","","","",""
"울산광역시","동구","104","83","11H20000","11H20101","","","","","","","","","","",""
"울산광역시","북구","103","85","11H20000","11H20101","","","","","","","","","","",""
"울산광역시","울주군","101","84","11H20000","11H20101","","","","","","","","","","",""
"세종특별자치시","","66","103","11C20000","11C20404","","","","","","","","","","",""
"세종특별자치시","세종특별자치시","66","103","11C20000","11C20404","","","","","","","","","","",""
"경기도","","60","120","11B00000","11B20601","","","","","","","","","","",""
"경기도","수원시장안구","60","121","11B00000","11B20601","","","","","","","","","","",""
"경기도","수원시권선구","60","120","11B00000","11B20601","","","","","","","","","","",""
"경기도","수원시팔달구","61","121","11B00000","11B20601","","","","","","","","","","",""
"경기도","수원시영통구","61","120","11B00000","11B20601","","","","","","","","","","",""
"경기도","성남시수정구","63","124","11B00000","11B20605","","","","","","","","","","",""
"경기도","성남시중원구","63","124","11B00000","11B20605","","","","","","","","","","",""
"경기도","성남시분당구","62","123","11B00000","11B20605","","","","","","","","","","",""
"경기도","의정부시","61","130","11B00000","11B20301","","","","","","","","","","",""
"경기도","안양시만안구","59","123","11B00000","11B20602","","","","","","","","","","",""
"경기도","안양시동안구","59","123","11B00000","11B20602","","","","","","","","","","",""
"경기도","광명시","58","125","11B00000","11B10103","","","","","","","","","","",""
"경기도","평택시","62","114","11B00000","11B20606","","","","","","","","","","",""
"경기도","동두천시","61","134","11B00000","11B20401","","","","","","","","","","",""
"경기도","안산시상록구","58","121","11B00000","11B20203","","","","","","","","","","",""
"경기도","안산시단원구","57","121","11B00000","11B20203","","","","","","","","","","",""
"경기도","고양시덕양구","57","128","11B00000","11B20302","","","","","","","","","","",""
"경기도","고양시일산동구","56","129","11B00000","11B20302","","","","","","","","","","",""
"경기도","고양시일산서구","56","129","11B00000","11B20302","","","","","","","","","","",""
"경기도","과천시","60","124","11B00000","11B10102","","","","","","","","","","",""
"경기도","구리시","62","127","11B00000","11B20501","","","","","","","","","","",""
"경기도","남양주시","64","128","11B00000","11B20502","","","","","","","","","","",""
"경기도","오산시","62","118","11B00000","11B20603","","","","","","","","","","",""
"경기도","시흥시","57","123","11B00000","11B20202","","","","","","","","","","",""
"경기도","군포시","59","122","11B00000","11B20610","","","","","","","","","","",""
"경기도","의왕시","60","122","11B00000","11B20609","","","","","","","","","","",""
"경기도","하남시","64","126","11B00000","11B20504","","","","","","","","","","",""
"경기도","용인시처인구","64","119","11B00000","11B20612","","","","","","","","","","",""
"경기도","용인시기흥구","62","120","11B00000","11B20612","","","","","","","","","","",""
"경기도","용인시수지구","62","121","11B00000","11B20612","","","","","","","","","","",""
"경기도","파주시","56","131","11B00000","11B20305","","","","","","","","","","",""
"경기도","이천시","68","121","11B00000","11B20701","","","","","","","","","","",""
"경기도","안성시","65","115","11B00000","11B20611","","","","","","","","","","",""
"경기도","김포시","55","128","11B00000","11B20102","","","","","","","","","","",""
"경기도","화성시","57","119","11B00000","11B20604","","","","","","","","","","",""
"경기도","광주시","65","123","11B00000","11B20702","","","","","","","","","","",""
"경기도","양주시","61","131","11B00000","11B20304","","","","","","","","","","",""
"경기도","포천시","64","134","11B00000","11B20403","","","","","","","","","","",""
"경기도","여주시","71","121","11B00000","11B20703","","","","","","","","","","",""
"경기도","연천군","61","138","11B00000","11B20402","","","","","","","","","","",""
"경기도","가평군","69","133","11B00000","11B20404","","","","","","","","","","",""
"경기도","양평군","69","125","11B00000","11B20503","","","","","","","","","","",""
"강원도","","73","134","11D20000","11D10301","","","","","","","","","","",""
"강원도","춘천시","73","134","11D20000","11D10301","","","","","","","","","","",""
"강원도","원주시","76","122","11D20000","11D10401","","","","","","","","","","",""
"강원도","강릉시","92","131","11D10000","11D20501","","","","","","","","","","",""
"강원도","동해시","97","127","11D10000","11D20601","","","","","","","","","","",""
"강원도","태백시","95","119","11D10000","11D20301","","","","","","","","","","",""
"강원도","속초시","87","141","11D10000","11D20401","","","","","","","","","","",""
"강원도","삼척시","98","125","11D10000","11D20602","","","","","","","","","","",""
"강원도","홍천군","75","130","11D20000","11D10302","","","","","","","","","","",""
"강원도","횡성군","77","125","11D20000","11D10402","","","","","","","","","","",""
"강원도","영월군","86","119","11D20000","11D10501","","","","","","","","","","",""
"강원도","평창군","84","123","11D20000","11D10503","","","","","","","","","","",""
"강원도","정선군","89","123","11D20000","11D10502","","","","","","","","","","",""
"강원도","철원군","65","139","11D20000","11D10101","","","","","","","","","","",""
"강원도","화천군","72","139","11D20000","11D10102","","","","","","","","","","",""
"강원도","양구군","77","139","11D20000","11D10202","","","","","","","","","","",""
"강원도","인제군","80","138","11D20000","11D10201","","","","","","","","","","",""
"강원도","고성군","85","145","11D10000","11D20402","","","","","","","","","","",""
"강원도","양양군","88","138","11D10000","11D20403","","","","","","","","","","",""
"충청북도","","69","107","11C10000","11C10301","","","","","","","","","","",""
"충청북도","청주시상당구","69","106","11C10000","11C10301","","","","","","","","","","",""
"충청북도","청주시서원구","69","107","11C10000","11C10301","","","","","","","","","","",""
"충청북도","청주시흥덕구","67","106","11C10000","11C10301","","","","","","","","","","",""
"충청북도","청주시청원구","69","107","11C10000","11C10301","","","","","","","","","","",""
"충청북도","충주시","76","114","11C10000","11C10101","","","","","","","","","","",""
"충청북도","제천시","81","118","11C10000","11C10201","","","","","","","","","","",""
"충청북도","보은군","73","103","11C10000","11C10302","","","","","","","","","","",""
"충청북도","옥천군","71","99","11C10000","11C10403","","","","","","","","","","",""
"충청북도","영동군","74","97","11C10000","11C10402","","","","","","","","","","",""
"충청북도","증평군","71","110","11C10000","11C10304","","","","","","","","","","",""
"충청북도","진천군","68","111","11C10000","11C10102","","","","","","","","","","",""
"충청북도","괴산군","74","111","11C10000","11C10303","","","","","","","","","","",""
"충청북도","음성군","72","113","11C10000","11C10103","","","","","","","","","","",""
"충청북도","단양군","84","115","11C10000","11C10202","","","","","","","","","","",""
"충청남도","","68","100","11C20000","11C20301","","","","","","","","","","",""
"충청남도","천안시동남구","63","110","11C20000","11C20301","","","","","","","","","","",""
"충청남도","천안시서북구","63","112","11C20000","11C20301","","","","","","","","","","",""
"충청남도","공주시","63","102","11C20000","11C20402","","","","","","","","","","",""
"충청남도","보령시","54","100","11C20000","11C20201","","","","","","","","","","",""
"충청남도","아산시","60","110","11C20000","11C20302","","","","","","","","","","",""
"충청남도","서산시","51","110","11C20000","11C20101","","","","","","","","","","",""
"충청남도","논산시","62","97","11C20000","11C20602","","","","","","","","","","",""
"충청남도","계룡시","65","99","11C20000","11C20403","","","","","","","","","","",""
"충청남도","당진시","54","112","11C20000","11C20103","","","","","","","","","","",""
"충청남도","금산군","69","95","11C20000","11C20601","","","","","","","","","","",""
"충청남도","부여군","59","99","11C20000","11C20501","","","","","","","","","","",""
"충청남도","서천군","55","94","11C20000","11C20202","","","","","","","","","","",""
"충청남도","청양군","57","103","11C20000","11C20502","","","","","","","","","","",""
"충청남도","홍성군","55","106","11C20000","11C20104","","","","","","","","","","",""
"충청남도","예산군","58","107","11C20000","11C20303","","","","","","","","","","",""
"충청남도","태안군","48","109","11C20000","11C20102","","","","","","","","","","",""
"전라북도","","63","89","11F10000","11F10201","","","","","","","","","","",""
"전라북도","전주시완산구","63","89","11F10000","11F10201","","","","","","","","","","",""
"전라북도","전주시덕진구","63","89","11F10000","11F10201","","","","","","","","","","",""
"전라북도","군산시","56","92","11F10000","21F10501","","","","","","","","","","",""
"전라북도","익산시","60","91","11F10000","11F10202","","","","","","","","","","",""
"전라북도","정읍시","58","83","11F10000","11F10203","","","","","","","","","","",""
"전라북도","남원시","68","80","11F10000","11F10401","","","","","","","","","","",""
"전라북도","김제시","59","88","11F10000","21F10502","","","","","","","","","","",""
"전라북도","완주군","63","89","11F10000","11F10204","","","","","","","","","","",""
"전라북도","진안군","68","88","11F10000","11F10303","","","","","","","","","","",""
"전라북도","무주군","72","93","11F10000","11F10302","","","","","","","","","","",""
"전라북도","장수군","70","85","11F10000","11F10301","","","","","","","","","","",""
"전라북도","임실군","66","84","11F10000","11F10402","","","","","","","","","","",""
"전라북도","순창군","63","79","11F10000","11F10403","","","","","","","","","","",""
"전라북도","고창군","56","80","11F10000","21F10601","","","","","","","","","","",""
"전라북도","부안군","56","87","11F10000","21F10602","","","","","","","","","","",""
"전라남도","","51","67","11F20000","21F20801","","","","","","","","","","",""
"전라남도","목포시","50","67","11F20000","21F20801","","","","","","","","","","",""
"전라남도","여수시","73","66","11F20000","11F20401","","","","","","","","","","",""
"전라남도","순천시","70","70","11F20000","11F20603","","","","","","","","","","",""
"전라남도","나주시","56","71","11F20000","11F20503","","","","","","","","","","",""
"전라남도","광양시","73","70","11F20000","11F20402","","","","","","","","","","",""
"전라남도","담양군","61","78","11F20000","11F20504","","","","","","","","","","",""
"전라남도","곡성군","66","77","11F20000","11F20602","","","","","","","","","","",""
"전라남도","구례군","69","75","11F20000","11F20601","","","","","","","","","","",""
"전라남도","고흥군","66","62","11F20000","11F20403","","","","","","","","","","",""
"전라남도","보성군","62","66","11F20000","11F20404","","","","","","","","","","",""
"전라남도","화순군","61","72","11F20000","11F20505","","","","","","","","","","",""
"전라남도","장흥군","59","64","11F20000","11F20304","","","","","","","","","","",""
"전라남도","강진군","57","63","11F20000","11F20303","","","","","","","","","","",""
"전라남도","해남군","54","61","11F20000","11F20302","","","","","","","","","","",""
"전라남도","영암군","56","66","11F20000","21F20802","","","","","","","","","","",""
"전라남도","무안군","52","71","11F20000","21F20804","","","","","","","","","","",""
"전라남도","함평군","52","72","11F20000","21F20101","","","","","","","","","","",""
"전라남도","영광군","52","77","11F20000","21F20102","","","","","","","","","","",""
"전라남도","장성군","57","77","11F20000","11F20502","","","","","","","","","","",""
"전라남도","완도군","57","56","11F20000","11F20301","","","","","","","","","","",""
"전라남도","진도군","48","59","11F20000","21F20201","","","","","","","","","","",""
"전라남도","신안군","50","66","11F20000","21F20803","","","","","","","","","","",""
"경상북도","","89","91","11H10000","11H10201","","","","","","","","","","",""
"경상북도","포항시남구","102","94","11H10000","11H10201","","","","","","","","","","",""
"경상북도","포항시북구","102","95","11H10000","11H10201","","","","","","","","","","",""
"경상북도","경주시","100","91","11H10000","11H10202","","","","","","","","","","",""
"경상북도","김천시","80","96","11H10000","11H10601","","","","","","","","","","",""
"경상북도","안동시","91","106","11H10000","11H10501","","","","","","","","","","",""
"경상북도","구미시","84","96","11H10000","11H10602","","","","","","","","","","",""
"경상북도","영주시","89","111","11H10000","11H10401","","","","","","","","","","",""
"경상북도","영천시","95","93","11H10000","11H10702","","","","","","","","","","",""
"경상북도","상주시","81","102","11H10000","11H10302","","","","","","","","","","",""
"경상북도","문경시","81","106","11H10000","11H10301","","","","","","","","","","",""
"경상북도","경산시","91","90","11H10000","11H10703","","","","","","","","","","",""
"경상북도","의성군","90","101","11H10000","11H10502","","","","","","","","","","",""
"경상북도","청송군","96","103","11H10000","11H10503","","","","","","","","","","",""
"경상북도","영양군","97","108","11H10000","11H10403","","","","","","","","","","",""
"경상북도","영덕군","102","103","11H10000","11H10102","","","","","","","","","","",""
"경상북도","청도군","91","86","11H10000","11H10704","","","","","","","","","","",""
"경상북도","고령군","83","87","11H10000","11H10604","","","","","","","","","","",""
"경상북도","성주군","83","91","11H10000","11H10605","","","","","","","","","","",""
"경상북도","칠곡군","85","93","11H10000","11H10705","","","","","","","","","","",""
"경상북도","예천군","86","107","11H10000","11H10303","","","","","","","","","","",""
"경상북도","봉화군","90","113","11H10000","11H10402","","","","","","","","","","",""
"경상북도","울진군","102","115","11H10000","11H10101","","","","","","","","","","",""
"경상북도","울릉군","127","127","11H10000","11E00101","","","","","","","","","","",""
"경상남도","","91","77","11H20000","11H20301","","","","","","","","","","",""
"경상남도","창원시의창구","90","77","11H20000","11H20301","","","","","","","","","","",""
"경상남도","창원시성산구","91","76","11H20000","11G00101","","","","","","","","","","",""
"경상남도","창원시마산합포구","89","76","11H20000","11H20301","","","","","","","","","","",""
"경상남도","창원시마산회원구","89","76","11H20000","11H20301","","","","","","","","","","",""
"경상남도","창원시진해구","91","75","11H20000","11H20301","","","","","","","","","","",""
"경상남도","진주시","81","75","11H20000","11H20701","","","","","","","","","","",""
"경상남도","통영시","87","68","11H20000","11H20401","","","","","","","","","","",""
"경상남도","사천시","80","71","11H20000","11H20402","","","","","","","","","","",""
"경상남도","김해시","95","77","11H20000","11H20304","","","","","","","","","","",""
"경상남도","밀양시","92","83","11H20000","11H20601","","","","","","","","","","",""
"경상남도","거제시","90","69","11H20000","11H20403","","","","","","","","","","",""
"경상남도","양산시","97","79","11H20000","11H20102","","","","","","","","","","",""
"경상남도","의령군","83","78","11H20000","11H20602","","","","","","","","","","",""
"경상남도","함안군","86","77","11H20000","11H20603","","","","","","","","","","",""
"경상남도","창녕군","87","83","11H20000","11H20604","","","","","","","","","","",""
"경상남도","고성군","85","71","11H20000","11H20404","","","","","","","","","","",""
"경상남도","남해군","77","68","11H20000","11H20405","","","","","","","","","","",""
"경상남도","하동군","74","73","11H20000","11H20704","","","","","","","","","","",""
"경상남도","산청군","76","80","11H20000","11H20703","","","","","","","","","","",""
"경상남도","함양군","74","82","11H20000","11H20501","","","","","","","","","","",""
"경상남도","거창군","77","86","11H20000","11H20502","","","","","","","","","","",""
"경상남도","합천군","81","84","11H20000","11H20503","","","","","","","","","","",""
"제주특별자치도","","52","38","11G00000","11G00201","","","","","","","","","","",""
"제주특별자치도","제주시","53","38","11G00000","11G00201","","","","","","","","","","",""
"제주특별자치도","서귀포시","52","33","11G00000","11G00401","","","","","","","","","","",""
"이어도","","28","8","11G00000","11G00601","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
